PRIMARY_SAMPLE_UNIT,YEAR,STATION_NR,DEPTH,MAX_HARD_RELIEF,MAX_SOFT_RELIEF,AVG_HARD_RELIEF,PCT_SAND,PCT_HARD_BOTTOM,PCT_RUBBLE,PCT_CORAL,PCT_OCTO,PCT_SPONGE,LAT_DEGREES,LON_DEGREES
1223,2017,1,10.3632,0.275,0.625,0.15,0,100,0,3,5,4.5,17.78908,-64.75253
1224,2017,1,11.2776,0.175,0.3,0.1,67,27.5,5.5,0,0.5,0.5,17.65479,-64.87012
1226,2017,1,8.2296,1.6,0.6,0.79,5,55,40,1.5,2.5,3.5,17.65793,-64.85934
1227,2017,1,11.43,0.225,0.75,0.10625,60,35,5,0.5,2,1.5,17.65879,-64.87339
1228,2017,1,7.3152,0.35,0.25,0.125,10,89,1,1,0,2,17.66135,-64.89191
1229,2017,1,7.1628,0.25,0.15,0.10125,0.5,27,72.5,1.5,0,1,17.66328,-64.82737
1236,2017,1,10.2108,0.135,0.14,0.1,67.5,32.5,0,0,0,0,17.69246,-64.70179
1241,2017,1,5.7912,3.75,1.15,1.49525,30,60,10,7,7.5,2,17.79288,-64.62457
1243,2017,1,4.8768,0.875,0.59,0.1595,5,95,0,1.5,1.5,0.5,17.72732,-64.62457
1246,2017,1,6.2484,0.85,0.6,0.23575,49.5,47.5,3,20,15,4,17.76117,-64.69776
1266,2017,1,9.906,1.55,0.8,0.53175,35,57.5,7.5,10,14,2,17.78267,-64.61785
1274,2017,1,20.8788,1.15,1.35,0.52375,15,85,0,12.5,2,15,17.6948,-64.89686
1277,2017,1,16.764,4.55,0.6,1.144625,22.5,77.5,0,8.5,10,6.5,17.78462,-64.75881
1278,2017,1,17.9832,3.6,0.95,1.34025,32.5,67.5,0,17,13.5,8,17.78538,-64.76102
1291,2017,1,20.4216,1.7,0.575,0.8975,0,100,0,6,3,11,17.74039,-64.89951
1293,2017,1,17.8308,0.35,0.75,0.1375,10,52.5,37.5,1,6.5,3,17.78465,-64.75708
1297,2017,1,12.192,1.6,1.95,0.267,25,50,25,16,40,2,17.78244,-64.59496
1298,2017,1,12.3444,1.6,2,0.41525,20,61.5,18.5,20,30,5,17.78414,-64.60647
1302,2017,1,12.0396,2.25,2.05,0.390625,30,55,15,14,27.5,1,17.79712,-64.61616
1316,2017,1,14.1732,0.475,1.1,0.17825,30,70,0,15,25,7.5,17.80322,-64.63586
1328,2017,1,16.6116,0.825,0.75,0.186,2.5,92.5,5,6.5,16,7.5,17.78754,-64.57629
1348,2017,1,15.8496,0.55,0.7,0.3175,1.5,85,13.5,3,5.5,8.5,17.67743,-64.71623
1349,2017,1,16.1544,0.26,0.51,0.105,46.5,51,2.5,0.5,1,0.5,17.6801,-64.7196
1354,2017,1,13.5636,0.5,0.75,0.20375,22.5,70,7.5,3,8.5,2.5,17.78568,-64.58417
1361,2017,1,11.43,0.825,0.15,0.15,80,20,0,0,0,3,17.70837,-64.88881
1370,2017,1,8.382,5.6,1.45,1.81,2.5,75,22.5,3,16.5,2,17.78486,-64.60428
1379,2017,1,6.5532,1.5,0.5,0.453,5,90,5,1.5,2,1,17.78206,-64.75699
1380,2017,1,4.1148,2.4,0.25,1.36125,12.5,80,7.5,2.5,1,0.5,17.784,-64.75332
1408,2017,1,10.0584,1.25,1.1,0.30875,1,99,0,8,37.5,4,17.79368,-64.58759
1420,2017,1,11.1252,1.175,0.8,0.35375,16,84,0,5.5,2.5,8.5,17.72054,-64.89236
1421,2017,1,10.8204,1.8,0.6,0.49825,27.5,70,2.5,6.5,1.5,8.5,17.72498,-64.89439
1423,2017,1,8.6868,0.625,0.55,0.1975,0,100,0,1.5,3,1,17.78287,-64.75615
1442,2017,1,9.144,0.9,0.7,0.19125,65,22.5,12.5,7.5,25,25,17.77648,-64.8109
1502,2017,1,29.4132,0.5,1,0.1675,62.5,37.5,0,3,7,22.5,17.68897,-64.90258
1503,2017,1,21.336,1.9,0.95,0.4845,45,55,0,6,6.5,10,17.69276,-64.89813
1504,2017,1,8.8392,1.95,0.75,0.606375,37.5,60,2.5,17,3.5,9.5,17.7037,-64.88984
1505,2017,1,6.2484,1.05,0.5,0.25875,42.5,57.5,0,10.5,8,3.5,17.70659,-64.88733
1506,2017,1,14.7828,0.8,0.95,0.37375,0,95,5,2.5,0,20,17.71644,-64.88994
1507,2017,1,14.3256,0.6,0.95,0.3075,5,70,25,1.5,1,15,17.71744,-64.8905
1508,2017,1,2.1336,0.25,0.15,0.1125,15,50,35,0.5,0.5,0,17.72147,-64.88573
1509,2017,1,22.2504,0.85,0.8,0.595,2.5,97.5,0,20,1.5,14,17.73591,-64.89772
1510,2017,1,8.6868,0.95,0.8,0.53,25,75,0,4.5,15.5,7.5,17.73629,-64.89451
1511,2017,1,18.4404,1.15,1.05,0.61125,3.5,96.5,0,13.5,16.5,17.5,17.744,-64.90017
1512,2017,1,24.9936,1.05,1.15,0.304375,5,95,0,1.5,7.5,17.5,17.76844,-64.88428
